Timestamp,Date,"Rate (%/day)",Amount,"Period (days)","isFRR (0=fixed_rate / 1=FRR)"
1443226676,"2015-09-26 00:17:56",0.0104,3.411,2,0
1443226676,"2015-09-26 00:17:56",0.01279,2.558,2,0
1443226676,"2015-09-26 00:17:56",0.0128,0.215,2,0
1443226676,"2015-09-26 00:17:56",0.0128,0.25,2,0
1443226676,"2015-09-26 00:17:56",0.0128,3.616,10,0
1443227866,"2015-09-26 00:37:46",0.0098,0.746,2,0
1443227867,"2015-09-26 00:37:47",0.0125,0.609,14,0
1443227867,"2015-09-26 00:37:47",0.0126,2.53,2,0
1443227867,"2015-09-26 00:37:47",0.0127,0.215,2,0
1443228357,"2015-09-26 00:45:57",0.0126,0.084,2,0
1443228834,"2015-09-26 00:53:54",0.0127,0.218,2,0
1443228837,"2015-09-26 00:53:57",0.0127,7.184,15,0
1443228837,"2015-09-26 00:53:57",0.0127,0.334,2,0
1443229074,"2015-09-26 00:57:54",0.0128,0.301,2,0
1443230757,"2015-09-26 01:25:57",0.0099,0.222,2,0
1443230757,"2015-09-26 01:25:57",0.0099,0.26,2,0
1443230757,"2015-09-26 01:25:57",0.0099,11.171,2,0
1443230760,"2015-09-26 01:26:00",0.01289,0.506,2,0
1443230986,"2015-09-26 01:29:46",0.0129,0.318,6,0
1443230986,"2015-09-26 01:29:46",0.01299,0.47,2,0
1443230988,"2015-09-26 01:29:48",0.01299,4.234,2,0
1443230988,"2015-09-26 01:29:48",0.01299,0.257,2,0
1443232915,"2015-09-26 02:01:55",0.0127,0.44,3,0
1443232915,"2015-09-26 02:01:55",0.0127,0.874,30,0
1443232915,"2015-09-26 02:01:55",0.0128,0.25,2,0
1443233631,"2015-09-26 02:13:51",0.0127,0.172,3,0
1443234354,"2015-09-26 02:25:54",0.01269,4.582,2,0
1443234593,"2015-09-26 02:29:53",0.0124,2.964,3,0
1443234593,"2015-09-26 02:29:53",0.0125,0.647,2,0
1443235310,"2015-09-26 02:41:50",0.0104,0.233,2,0
1443235555,"2015-09-26 02:45:55",0.0104,1.033,2,0
